,index,game,session,round,player,player_id,is_bot,displayed_choice_eta,player_choice_eta,timeChoice,timeResults
309,117,all_apps_wide_2024-12-06,5m4a8uoo,17,n0oeob1a,6,False,,,,
310,118,all_apps_wide_2024-12-06,5m4a8uoo,17,27vtfec0,7,False,,,,
311,119,all_apps_wide_2024-12-06,5m4a8uoo,18,ciq5t1rm,1,False,,,,
312,120,all_apps_wide_2024-12-06,5m4a8uoo,18,uknfogys,2,False,,,,
313,121,all_apps_wide_2024-12-06,5m4a8uoo,18,0zsu29c4,3,True,,,,
314,122,all_apps_wide_2024-12-06,5m4a8uoo,18,qrad22bv,4,False,,,,
315,123,all_apps_wide_2024-12-06,5m4a8uoo,18,gnnpegs2,5,True,,,,
316,124,all_apps_wide_2024-12-06,5m4a8uoo,18,n0oeob1a,6,False,,,,
317,125,all_apps_wide_2024-12-06,5m4a8uoo,18,27vtfec0,7,False,,,,
318,126,all_apps_wide_2024-12-06,5m4a8uoo,19,ciq5t1rm,1,False,,,,
319,127,all_apps_wide_2024-12-06,5m4a8uoo,19,uknfogys,2,False,,,,
320,128,all_apps_wide_2024-12-06,5m4a8uoo,19,0zsu29c4,3,True,,,,
321,129,all_apps_wide_2024-12-06,5m4a8uoo,19,qrad22bv,4,False,,,,
322,130,all_apps_wide_2024-12-06,5m4a8uoo,19,gnnpegs2,5,True,,,,
323,131,all_apps_wide_2024-12-06,5m4a8uoo,19,n0oeob1a,6,False,,,,
324,132,all_apps_wide_2024-12-06,5m4a8uoo,19,27vtfec0,7,False,,,,
325,133,all_apps_wide_2024-12-06,5m4a8uoo,20,ciq5t1rm,1,False,,,,
326,134,all_apps_wide_2024-12-06,5m4a8uoo,20,uknfogys,2,False,,,,
327,135,all_apps_wide_2024-12-06,5m4a8uoo,20,0zsu29c4,3,True,,,,
328,136,all_apps_wide_2024-12-06,5m4a8uoo,20,qrad22bv,4,False,,,,
329,137,all_apps_wide_2024-12-06,5m4a8uoo,20,gnnpegs2,5,True,,,,
330,138,all_apps_wide_2024-12-06,5m4a8uoo,20,n0oeob1a,6,False,,,,
331,139,all_apps_wide_2024-12-06,5m4a8uoo,20,27vtfec0,7,False,,,,
332,140,all_apps_wide_2024-12-06,5m4a8uoo,21,ciq5t1rm,1,False,,,,
333,141,all_apps_wide_2024-12-06,5m4a8uoo,21,uknfogys,2,False,,,,
334,142,all_apps_wide_2024-12-06,5m4a8uoo,21,0zsu29c4,3,True,,,,
335,143,all_apps_wide_2024-12-06,5m4a8uoo,21,qrad22bv,4,False,,,,
336,144,all_apps_wide_2024-12-06,5m4a8uoo,21,gnnpegs2,5,True,,,,
337,145,all_apps_wide_2024-12-06,5m4a8uoo,21,n0oeob1a,6,False,,,,
338,146,all_apps_wide_2024-12-06,5m4a8uoo,21,27vtfec0,7,False,,,,
339,147,all_apps_wide_2024-12-06,5m4a8uoo,22,ciq5t1rm,1,False,,,,
340,148,all_apps_wide_2024-12-06,5m4a8uoo,22,uknfogys,2,False,,,,
341,149,all_apps_wide_2024-12-06,5m4a8uoo,22,0zsu29c4,3,True,,,,
342,150,all_apps_wide_2024-12-06,5m4a8uoo,22,qrad22bv,4,False,,,,
343,151,all_apps_wide_2024-12-06,5m4a8uoo,22,gnnpegs2,5,True,,,,
344,152,all_apps_wide_2024-12-06,5m4a8uoo,22,n0oeob1a,6,False,,,,
345,153,all_apps_wide_2024-12-06,5m4a8uoo,22,27vtfec0,7,False,,,,
